 main- INFO-[2013-12-03 09:05:33,505]-play.Logger.info(Logger.java:290)-Starting E:\iquant_ext\iquantServer
 main- INFO-[2013-12-03 09:05:39,193]-play.Logger.info(Logger.java:290)-Module redis is available (E:\javaTools\play1\modules\redis-0.3)
 main- INFO-[2013-12-03 09:05:39,193]-play.Logger.info(Logger.java:290)-Module guice is available (E:\javaTools\play1\modules\guice-1.2)
 main- INFO-[2013-12-03 09:05:39,193]-play.Logger.info(Logger.java:290)-Module iquantCommon is available (E:\iquant_ext\iquantServer\..\iquantCommon)
 main- WARN-[2013-12-03 09:05:40,459]-play.Logger.warn(Logger.java:345)-You're running Play! in DEV mode
 main- INFO-[2013-12-03 09:05:40,600]-play.Logger.info(Logger.java:290)-Listening for HTTP on port 9100 (Waiting a first request to start) ...
play-thread-1-DEBUG-[2013-12-03 09:08:04,878]-play.Logger.debug(Logger.java:233)-ignoring method: public volatile job.StrategyYieldSmallPicJob$5.handle(java.sql.ResultSet) (local vars numbers differs : 1 != -1)
play-thread-1-DEBUG-[2013-12-03 09:08:04,957]-play.Logger.debug(Logger.java:233)-ignoring method: protected volatile job.StrategyYieldSmallPicJob$3.createRow(java.sql.ResultSet) (local vars numbers differs : 1 != -1)
play-thread-1-DEBUG-[2013-12-03 09:08:04,957]-play.Logger.debug(Logger.java:233)-ignoring method: protected volatile job.StrategyYieldSmallPicJob$3.createKey(java.sql.ResultSet) (local vars numbers differs : 1 != -1)
play-thread-1-DEBUG-[2013-12-03 09:08:04,972]-play.Logger.debug(Logger.java:233)-ignoring method: protected volatile job.StrategyYieldSmallPicJob$4.createRow(java.sql.ResultSet) (local vars numbers differs : 1 != -1)
play-thread-1-DEBUG-[2013-12-03 09:08:04,972]-play.Logger.debug(Logger.java:233)-ignoring method: protected volatile job.StrategyYieldSmallPicJob$4.createKey(java.sql.ResultSet) (local vars numbers differs : 1 != -1)
play-thread-1-DEBUG-[2013-12-03 09:08:04,988]-play.Logger.debug(Logger.java:233)-ignoring method: public volatile dbutils.AbstractKeyedMutiMapHandler.handle(java.sql.ResultSet) (local vars numbers differs : 1 != -1)
play-thread-1-DEBUG-[2013-12-03 09:08:06,582]-play.Logger.debug(Logger.java:233)-ignoring method: protected volatile bussiness.product.impl.ProductService$2.createRow(java.sql.ResultSet) (local vars numbers differs : 1 != -1)
